BELS・DBJ・CASBEE,認証先・申請者,物件名称,用途,延床面積（㎡）,評価ランク,竣工時期,建設地,有効期限
BELS,三菱地所株式会社,ロジクロス習志野,工場等,"39,132",☆5,2018年3月,千葉県,-
BELS,日本プライムリアルティ投資法人,FUNDES上野,飲食店等,"2,249",☆2,2017年7月,東京都,-
BELS,東日本旅客鉄道株式会社,KAWASAKI DELTA（オフィス）,事務所等,"134,673",☆5,2021年4月,神奈川県,-
BELS,伊藤忠商事株式会社,(仮称)目黒区中目黒二丁目賃貸マンション計画,共同住宅等,"6,235",☆4,2022年6月,東京都,-
BELS,大和ハウス工業株式会社,（仮称）DPL茨木　新築工事,工場等,"58,146",☆5,2020年11月,大阪府,-
BELS,三菱地所物流リート投資法人,（仮称）ロジクロス名古屋笠寺　新築工事,工場等,"80,485",☆5,2018年1月,愛知県,-
BELS,関電不動産開発株式会社,（仮称）関電不動産八重洲ビル　新築工事,事務所等,"13,485",☆5,2022年5月,東京都,-
BELS,産業ファンド投資法人,IIF広島西風新都ロジスティクスセンター,工場等,"40,560",☆5,2020年3月,広島県,-
BELS,野村不動産株式会社,PMO渋谷Ⅱ,事務所等,"6,052",☆3,2020年8月,東京都,-
BELS,株式会社琉球銀行,（仮称）琉球銀行本店ビル新築工事　事務所部分,事務所等,"40,624 ",☆5,2025年10月,沖縄県,-
CASBEE建築,総社市長,総社市庁舎,事務所,"16,005",A,2027年11月,岡山県総社市,2030/11/29
CASBEE建築,世田谷区長,世田谷区役所・世田谷区民会館,事務所,"72,993",S,2027年10月,東京都世田谷区,2030/10/14
CASBEE建築,多摩川住宅ホ号棟マンション建替組合,多摩川住宅ホ号棟マンション建替事業　新築工事,集合住宅,"71,040",A,2025年11月,東京都調布市,2028/11/27
CASBEE建築,特定目的会社 青葉ホールディングス,（仮称）宮城県岩沼市空港南物流センター　新築工事,工場,"36,021",B+,2023年3月,宮城県岩沼市,2028/3/30
CASBEE建築,袖ケ浦市,袖ケ浦市庁舎整備工事,事務所,"14,218",Ａ,2024年9月,千葉県袖ケ浦市,2027/9/29
CASBEE建築,ビー・ヴィ・ケーリーフコフレ特定目的会社,コフレ梅田,病院,"5,172",B+,2011年11月,大阪府大阪市,2027/9/14
CASBEE建築,ALJ CENTRAL RE1特定目的会社,中野セントラルパークイースト,事務所,"39,025",A,2012年3月,東京都中野区,2027/7/26
CASBEE建築,DWS Grundbesitz GmbH,愛宕イーストビル,事務所,"9,996",A,2000年4月,東京都港区,2027/7/25
CASBEE建築,三井不動産レジデンシャル 株式会社,（仮称）パークウェルステイト湘南藤沢計画,病院,"45,218",A,2024年6月,神奈川県藤沢市,2027/6/27
CASBEE建築,戸田建設株式会社,（仮称）新TODAビル計画新築工事,事務所,"94,813",S,2024年4月,東京都中央区,2027/4/29
CASBEE不動産,シービーアールイー株式会社,L’ARCO南青山ビル,事務所,"2,749",A,1990年9月,東京都港区,2027/11/24
CASBEE不動産,シービーアールイー株式会社,初台センタービル,事務所,"4,329",A,1991年10月,東京都渋谷区,2027/11/24
CASBEE不動産,日本リート投資法人,大宮センタービル,事務所、店舗,"17,052",S,1983年3月,埼玉県さいたま市,2027/11/24
CASBEE不動産,Starwood Capital Japan 株式会社,THE TERRACE TSUKIJI,事務所,"2,602",S,2009年5月,東京都中央区,2027/11/24
CASBEE不動産,Starwood Capital Japan 株式会社,グランファースト神田紺屋町,事務所,"4,201",S,1993年4月,東京都千代田区,2027/11/24
CASBEE不動産,Starwood Capital Japan 株式会社,グランファースト新宿御苑,事務所,"5,724",S,1986年7月,東京都新宿区,2027/11/24
CASBEE不動産,樫の木特定目的会社,Oakwood Apartments 麻布台,集合住宅,"3,000",S,2017年3月,東京都港区,2027/11/9
CASBEE不動産,ユナイテッド・アーバン投資法人,浜松町262ビル【区分所有建物】,事務所、店舗,"6,162",A,1993年2月,東京都港区,2027/10/30
CASBEE不動産,ユナイテッド・アーバン投資法人,リーラヒジリザカ【区分所有建物】,事務所、集合住宅,"4,612",S,1991年11月,東京都港区,2027/10/30
CASBEE不動産,いちごオフィスリート投資法人,いちご高松ビル,事務所,"8,024",S,2007年5月,香川県高松市,2027/10/30
CASBEEウェルネスオフィス,株式会社大林組,Port Plus,事務所,"3,507",Ｓ,2022年3月,神奈川県横浜市,2027/10/11
CASBEEウェルネスオフィス,ダイキンエアテクノ株式会社,住友不動産両国ビル,事務所,"12,500",Ａ,1991年1月,東京都墨田区,2027/8/15
CASBEEウェルネスオフィス,栄研化学株式会社　野木事業所,栄研化学　新研究棟新築工事,事務所,"10,199",Ｓ,2022年7月,栃木県下都賀郡野木町,2027/8/7
CASBEEウェルネスオフィス,日東電工株式会社　豊橋事務所,日東電工株式会社　豊橋事業所　総合事務棟,事務所,"5,882",Ｓ,2022年10月,愛知県豊橋市,2027/8/4
CASBEEウェルネスオフィス,住友生命保険相互会社/八重洲二丁目北地区市街地再開発組合,東京ミッドタウン八重洲　八重洲セントラルタワー,事務所,"283,877",Ｓ,2022年8月,東京都中央区,2027/7/21
CASBEEウェルネスオフィス,東京建物株式会社,T-PLUS日本橋小伝馬町,事務所,"2,777",A,2022年4月,東京都中央区,2027/6/28
CASBEEウェルネスオフィス,野村不動産株式会社,ＰＭＯ四ツ橋本町,事務所,"3,238",A,2022年3月,大阪府大阪市,2027/6/6
CASBEEウェルネスオフィス,野村不動産株式会社,野村不動産大手町北ビル,事務所,"8,012",Ｓ,2021年6月,東京都千代田区,2027/6/1
CASBEEウェルネスオフィス,NTTアーバンバリューサポート株式会社,グランパークタワー　NTTアーバンバリューサポートオフィス,事務所,"106,652",Ｓ,2022年1月,東京都港区,2027/5/31
CASBEEウェルネスオフィス,メゾン東京合同会社,tanosio新横浜,事務所,"6,211",A,2022年6月,神奈川県横浜市,2027/5/25
DBJ Green Building,サンケイリアルエステート投資法人,S-GATE日本橋本町,事務所,"8,535",★★★★,2018年10月,東京5区,2025
DBJ Green Building,サンケイリアルエステート投資法人,S-GATE秋葉原,事務所,"2,014",★★★,2017年9月,東京5区,2025
DBJ Green Building,ケネディクス・オフィス投資法人,KDX調布ビル,事務所,"31,537",★★★,1995年1月,関東（東京23区除く）,2025
DBJ Green Building,野村不動産（株）,PMO四ツ橋本町,事務所,"3,238",★★★,2022年3月,関西,2025
DBJ Green Building,三井不動産（株）,東京ミッドタウン八重洲 八重洲セントラルタワー,事務所,"283,896",★★★★★,2022年8月,東京5区,2025
DBJ Green Building,東急（株）,the Folks BY IOQ,事務所,"1,903",★★,2000年3月,東京5区,2025
DBJ Green Building,日本土地建物プライベートリート投資法人,日土地千葉中央ビル,事務所,"4,437",★★★,2008年5月,関東（東京23区除く）,2025
DBJ Green Building,日本土地建物プライベートリート投資法人,日土地銀座ビル,事務所,"12,611",★★★,2010年1月,東京5区,2025
DBJ Green Building,野村不動産（株）,PMO神保町,事務所,"5,458",★★★,2022年5月,東京5区,2025
DBJ Green Building,合同会社本町,広小路本町ビルディング,事務所,"15,329",★★,1983年3月,中部,2025
